"","Site","SampleID","Sex","Family","Morphospecies","X","Size","Habitat","Period","SiteID"
"569","16L",1505,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"31"
"570","16L",1341,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",3,"31"
"571","16L",1350,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",4,"31"
"572","16L",1647,"","Halictidae","Halictus ligatus","Female","Medium","Soil",2,"31"
"573","16L",2118,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"31"
"574","16L",1434,"","Halictidae","Augochlorella aurata","","Medium","Soil",3,"31"
"575","16L",1473,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"31"
"576","16L",1272,"F","Apidae","Melissodes bimaculatus","","Large","Soil",4,"31"
"577","16L",1514,"F","Halictidae","Agapostemon virescens","","Medium","Soil",1,"31"
"578","16L",1355,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",3,"31"
"579","16L",1477,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"31"
"580","16L",1437,"","Halictidae","Augochlorella aurata","","Medium","Soil",1,"31"
"581","16L",1708,"","Halictidae","Halictus ligatus","Female","Small","Soil",1,"31"
"582","16L",1356,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",3,"31"
"583","16L",1506,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"31"
"584","16L",1482,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"31"
"585","16L",1376,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",3,"31"
"586","16L",1335,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",4,"31"
"587","16L",1378,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",4,"31"
"588","16L",1336,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",3,"31"
"589","16L",1351,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",4,"31"
"590","16L",1286,"M","Apidae","Melissodes druriellus","","Large","Soil",3,"31"
"591","16L",1530,"F","Halictidae","Agapostemon virescens","","Medium","Soil",1,"31"
"592","16L",1711,"","Halictidae","Halictus ligatus","Female","Small","Soil",3,"31"
"593","16L",1381,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",4,"31"
"594","16L",1316,"F","Apidae","Eucera atriventris","Melissodes F – yellow fuzz torax and first abd segment and face, orange femur scopa","Large","Soil",4,"31"
"595","16L",1342,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",3,"31"
"596","16L",1228,"M","Apidae","Melissodes agilis","Florilegus  - smallish, white furr on legs, orange/yellow on thorax and light orange abd stripes","Large","Soil",4,"31"
"597","16L",1990,"","Halictidae","Lasioglossum albepenne","","Small","Soil",1,"31"
"598","16L",1226,"F","Apidae","Florilegus condiginus","Florilegus  large – very fancy fuzzy white orange first legs,  round abdomen, uniform light yellow fuzz","Large","Soil",4,"31"
"599","16L",1348,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",3,"31"
"600","16L",1302,"F","Apidae","Eucera atriventris","Melissodes F – yellow fuzz torax and first abd segment and face, orange femur scopa","Large","Soil",3,"31"
"601","16L",1875,"","Halictidae","Lasioglossum zonulum","","Medium","Soil",1,"31"
"602","16L",1474,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"31"
"603","16L",1666,"","Halictidae","Halictus ligatus","Female","Medium","Soil",1,"31"
"604","16L",1354,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",3,"31"
"605","16L",1471,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"31"
"606","16L",1337,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",3,"31"
"607","16L",1953,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"31"
"608","16L",2075,"","Halictidae","Lasioglossum cressonii","","Small","Wood",4,"31"
"609","17H",2085,"","Halictidae","Lasioglossum spp.","","Small","Soil",6,"33"
"610","17H",1239,"M","Apidae","Melissodes boltonae","Melissodes F – like male bimac but with some yellow thorax fuzz, white femur scopa","Large","Soil",5,"33"
"611","17H",1572,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"33"
"612","17H",1620,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"33"
"613","17H",1358,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",3,"33"
"614","17H",1071,"F","Apidae","Bombus impatience","","Large","Cavity",3,"33"
"615","17H",2032,"","Halictidae","Lasioglossum spp.","","Small","Soil",2,"33"
"616","17H",1258,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"33"
"617","17H",1059,"F","Apidae","Apis mellifera","","Large","Hive",2,"33"
"618","17H",1789,"","Megachilidae","Stelis nitida","Female","Medium","Wood",6,"33"
"619","17H",2179,"","Halictidae","Lasioglossum atwoodi","","Small","Soil",4,"33"
"620","17H",2231,"","Halictidae","Lasioglossum pruinosum","","Small","Soil",1,"33"
"621","17H",1851,"","Colletidae","Colletes spp.","","Medium","Soil",4,"33"
"622","17H",1797,"","Megachilidae","Stelis nitida","Male","Medium","Wood",2,"33"
"623","17H",2110,"","Halictidae","Lasioglossum timothyi","","Small","Soil",4,"33"
"624","17H",1313,"F","Apidae","Eucera atriventris","Melissodes F – yellow fuzz torax and first abd segment and face, orange femur scopa","Large","Soil",4,"33"
"625","17H",1271,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"33"
"626","17H",1621,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"33"
"627","17H",2169,"","Halictidae","Lasioglossum platatum","","Small","Soil",6,"33"
"628","17L",1534,"","Andrenidae","Andrena milwaukensis","","Medium","Soil",1,"34"
"629","17L",2023,"","Halictidae","Lasioglossum bruneri","","Small","Soil",5,"34"
"630","17L",1517,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"34"
"631","17L",1414,"","Halictidae","Augochlorella persimilis","","Medium","Soil",4,"34"
"632","17L",1890,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",5,"34"
"633","17L",1138,"F","Apidae","Ceratina dupla","","Small","Wood",1,"34"
"634","17L",1897,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",6,"34"
"635","17L",1970,"","Halictidae","Lasioglossum lineatulum","","Small","Soil",2,"34"
"636","17L",2213,"","Halictidae","Lasioglossum anomalum","","Small","Soil",4,"34"
"637","17L",1686,"","Halictidae","Lasioglossum spp.","","Small","Soil",2,"34"
"638","17L",1993,"","Halictidae","Lasioglossum spp.","","Small","Soil",2,"34"
"639","17L",1931,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"34"
"640","17L",1445,"M","Halictidae","Agapostemon virescens","","Medium","Soil",6,"34"
"641","17L",2036,"","Halictidae","Lasioglossum spp.","","Small","Soil",4,"34"
"642","17L",1919,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",4,"34"
"643","17L",1714,"","Halictidae","Halictus parallelus","","Small","Soil",2,"34"
"644","18L",2170,"","Halictidae","Lasioglossum divergens","","Small","Soil",5,"35"
"645","18L",1261,"F","Apidae","Melissodes bimaculatus","","Large","Soil",4,"35"
"646","18L",1683,"","Halictidae","Andrena nigrae","Male","Small","Soil",1,"35"
"647","18L",2168,"","Halictidae","Lasioglossum spp.","","Small","Soil",3,"35"
"648","18L",2161,"","Halictidae","Lasioglossum illinoense","","Small","Soil",3,"35"
"649","18L",1415,"","Halictidae","Augochlorella aurata","","Medium","Soil",1,"35"
"650","18L",1444,"","Halictidae","Lasioglossum coeruleum","","Medium","Soil",4,"35"
"651","18L",1905,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",6,"35"
"652","18L",1887,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"35"
"653","18L",1820,"","Colletidae","Colletes spp.","","Medium","Soil",2,"35"
"654","18L",1972,"","Halictidae","Lasioglossum hartii","","Small","Soil",1,"35"
"655","18L",2164,"","Halictidae","Lasioglossum spp.","","Small","Soil",3,"35"
"656","18L",1244,"M","Apidae","Melissodes bimaculatus","","Large","Soil",4,"35"
"657","18L",1462,"M","Halictidae","Agapostemon virescens","","Medium","Soil",6,"35"
"658","18L",1952,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"35"
"659","18L",1327,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",4,"35"
"660","18L",1456,"M","Halictidae","Agapostemon virescens","","Medium","Soil",6,"35"
"661","18L",1352,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",4,"35"
"662","18L",2145,"","Halictidae","Lasioglossum anomalum","","Small","Soil",1,"35"
"663","19H",1565,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"37"
"664","19H",1535,"","Andrenidae","Andrena nuda","","Medium","Soil",1,"37"
"665","19H",1426,"","Halictidae","Augochlorella persimilis","","Medium","Soil",1,"37"
"666","19H",1441,"","Halictidae","Augochlorella aurata","","Medium","Soil",4,"37"
"667","19H",1657,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"37"
"668","19H",2357,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"669","19H",2342,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"670","19H",2196,"","Halictidae","Lasioglossum taylorae","","Small","Soil",4,"37"
"671","19H",1101,"F","Apidae","Bombus griseocollis","","Large","Cavity",5,"37"
"672","19H",2359,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"673","19H",1276,"F","Apidae","Melissodes bimaculatus","","Large","Soil",6,"37"
"674","19H",1343,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",5,"37"
"675","19H",1442,"","Halictidae","Augochlorella aurata","","Medium","Soil",4,"37"
"676","19H",1428,"","Halictidae","Augochlorella aurata","","Medium","Soil",1,"37"
"677","19H",1199,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"37"
"678","19H",1050,"F","Apidae","Apis mellifera","","Large","Hive",4,"37"
"679","19H",1921,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"37"
"680","19H",1396,"","Halictidae","Augochlorella persimilis","","Medium","Soil",1,"37"
"681","19H",2364,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",2,"37"
"682","19H",2257,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"683","19H",1360,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",5,"37"
"684","19H",1064,"F","Apidae","Apis mellifera","","Large","Hive",2,"37"
"685","19H",1235,"M","Apidae","Melissodes bimaculatus","","Large","Soil",5,"37"
"686","19H",1049,"F","Apidae","Apis mellifera","","Large","Hive",5,"37"
"687","19H",2341,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"688","19H",1367,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",5,"37"
"689","19H",1726,"","Megachilidae","Megachile relativa","","Medium","Wood",5,"37"
"690","19H",1570,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"37"
"691","19H",1307,"F","Apidae","Eucera atriventris","Melissodes F – yellow fuzz torax and first abd segment and face, orange femur scopa","Large","Soil",6,"37"
"692","19H",2258,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"693","19H",1409,"","Halictidae","Augochlorella aurata","","Medium","Soil",4,"37"
"694","19H",1260,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"37"
"695","19H",1600,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"37"
"696","19H",1582,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"37"
"697","19H",2126,"","Halictidae","Lasioglossum pruinosum","","Small","Soil",4,"37"
"698","19H",1992,"","Halictidae","Lasioglossum pilosum","","Small","Soil",4,"37"
"699","19H",2308,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",1,"37"
"700","19H",1682,"","Halictidae","Andrena medium/sm unk sp","Male","Small","Soil",2,"37"
"701","19H",1395,"","Halictidae","Augochlorella aurata","","Medium","Soil",1,"37"
"702","19H",2367,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"703","19H",2123,"","Halictidae","Lasioglossum anomalum","","Small","Soil",5,"37"
"704","19H",1263,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"37"
"705","19H",2274,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",2,"37"
"706","19H",1103,"F","Apidae","Bombus fervidus","","Large","Cavity",1,"37"
"707","19H",1723,"","Megachilidae","Megachile latimanus","","Medium","Wood",4,"37"
"708","19H",2094,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"37"
"709","19H",1231,"M","Apidae","Melissodes bimaculatus","","Large","Soil",5,"37"
"710","19H",2338,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"711","19H",1410,"","Halictidae","Augochlorella aurata","","Medium","Soil",5,"37"
"712","19H",2095,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"37"
"713","19H",1476,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"37"
"714","19H",1398,"","Halictidae","Augochlorella persimilis","","Medium","Soil",1,"37"
"715","19H",1275,"F","Apidae","Melissodes bimaculatus","","Large","Soil",4,"37"
"716","19H",1406,"","Halictidae","Augochlorella persimilis","","Medium","Soil",1,"37"
"717","19H",1397,"","Halictidae","Augochlorella aurata","","Medium","Soil",1,"37"
"718","19H",1040,"F","Apidae","Apis mellifera","","Large","Hive",4,"37"
"719","19H",1233,"M","Apidae","Melissodes bimaculatus","","Large","Soil",6,"37"
"720","19H",2135,"","Halictidae","Lasioglossum taylorae","","Small","Soil",4,"37"
"721","19H",2269,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"722","19H",1366,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",5,"37"
"723","19H",2362,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"724","19H",1411,"","Halictidae","Augochlorella aurata","","Medium","Soil",4,"37"
"725","19H",1393,"","Halictidae","Augochlorella aurata","","Medium","Soil",2,"37"
"726","19H",2339,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"727","19H",1251,"F","Apidae","Melissodes bimaculatus","","Large","Soil",6,"37"
"728","19H",2291,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"729","19H",1403,"","Halictidae","Augochlorella aurata","","Medium","Soil",2,"37"
"730","19H",2131,"","Halictidae","Lasioglossum spp.","","Small","Soil",2,"37"
"731","19H",1399,"","Halictidae","Augochlorella persimilis","","Medium","Soil",1,"37"
"732","19H",1727,"","Megachilidae","Coelioxys spp","","Medium","Wood",5,"37"
"733","19H",1230,"M","Apidae","Melissodes bimaculatus","","Large","Soil",5,"37"
"734","19H",1984,"","Halictidae","Lasioglossum pilosum","","Small","Soil",4,"37"
"735","19H",2227,"F","Apidae","Ceratina dupla","","Small","Wood",6,"37"
"736","19H",1391,"","Halictidae","Augochlorella aurata","","Medium","Soil",2,"37"
"737","19H",1685,"","Halictidae","Andrena nigrae","Male","Small","Soil",1,"37"
"738","19H",1902,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",6,"37"
"739","19H",2278,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"37"
"740","19H",1240,"M","Apidae","Melissodes bimaculatus","","Large","Soil",5,"37"
"741","19H",1539,"","Andrenidae","Andrena nuda","","Medium","Soil",1,"37"
"742","19H",1995,"","Halictidae","Lasioglossum pilosum","","Small","Soil",5,"37"
"743","19H",1435,"","Halictidae","Augochlorella aurata","","Medium","Soil",1,"37"
"744","19H",1619,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"37"
"745","19H",1728,"","Megachilidae","Coelioxys spp","","Medium","Wood",5,"37"
"746","19H",1999,"","Halictidae","Lasioglossum bruneri","","Small","Soil",5,"37"
"747","19H",1402,"","Halictidae","Augochlorella persimilis","","Medium","Soil",6,"37"
"748","19H",1390,"","Halictidae","Augochlorella persimilis","","Medium","Soil",2,"37"
"749","19H",2127,"","Halictidae","Lasioglossum platatum","","Small","Soil",5,"37"
"750","19H",1389,"","Halictidae","Augochlorella aurata","","Medium","Soil",2,"37"
"751","19H",1541,"","Andrenidae","Andrena nuda","","Medium","Soil",1,"37"
"752","19H",1400,"","Halictidae","Augochlorella persimilis","","Medium","Soil",2,"37"
"753","19L",1504,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"38"
"754","19L",1032,"F","Apidae","Apis mellifera","","Large","Hive",3,"38"
"755","19L",1781,"","Megachilidae","Stelis nitida","Female","Medium","Wood",6,"38"
"756","19L",1408,"","Halictidae","Augochlorella aurata","","Medium","Soil",3,"38"
"757","19L",2283,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",2,"38"
"758","19L",2093,"","Halictidae","Lasioglossum platatum","","Small","Soil",4,"38"
"759","19L",1430,"","Halictidae","Augochlorella persimilis","","Medium","Soil",3,"38"
"760","19L",1440,"","Halictidae","Augochlorella persimilis","","Medium","Soil",6,"38"
"761","19L",1604,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"38"
"762","19L",1423,"","Halictidae","Augochlorella persimilis","","Medium","Soil",6,"38"
"763","19L",1229,"M","Apidae","Melissodes bimaculatus","","Large","Soil",3,"38"
"764","19L",1431,"","Halictidae","Augochlorella aurata","","Medium","Soil",3,"38"
"765","19L",2332,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",6,"38"
"766","19L",1401,"","Halictidae","Augochlorella persimilis","","Medium","Soil",3,"38"
"767","19L",2029,"","Halictidae","Lasioglossum spp.","","Small","Soil",4,"38"
"768","19L",2133,"","Halictidae","Lasioglossum cattelae","","Small","Soil",3,"38"
"769","19L",1394,"","Halictidae","Augochlorella aurata","","Medium","Soil",2,"38"
"770","1H",1464,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"1"
"771","1H",2101,"","Halictidae","Lasioglossum spp.","","Small","Soil",3,"1"
"772","1H",2142,"","Halictidae","Lasioglossum ellisiae","","Small","Soil",2,"1"
"773","1L",1011,"F","Apidae","Apis mellifera","","Large","Hive",2,"2"
"774","1L",1816,"","Colletidae","Colletes spp.","","Medium","Soil",5,"2"
"775","1L",1561,"","Andrenidae","Andrena milwaukensis","","Small","Soil",1,"2"
"776","1L",2188,"","Halictidae","Lasioglossum macoupinense","","Small","Soil",2,"2"
"777","1L",1194,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"2"
"778","1L",1237,"M","Apidae","Melissodes bimaculatus","","Large","Soil",4,"2"
"779","1L",1554,"","Andrenidae","Andrena nasonii","Female","Small","Soil",2,"2"
"780","1L",1385,"","Halictidae","Augochloropsis fulgada/metallica","","Medium","Soil",3,"2"
"781","1L",1589,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"2"
"782","1L",1284,"F","Apidae","Melissodes bimaculatus","","Large","Soil",4,"2"
"783","1L",1274,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"2"
"784","1L",1245,"M","Apidae","Melissodes bimaculatus","","Large","Soil",4,"2"
"785","1L",2159,"","Halictidae","Lasioglossum smilacinae","","Small","Soil",5,"2"
"786","1L",1544,"","Andrenidae","Andrena nasonii","Female","Small","Soil",2,"2"
"787","1L",1285,"F","Apidae","Melissodes bimaculatus","","Large","Soil",4,"2"
"788","1L",1084,"F","Apidae","Bombus impatience","","Large","Cavity",5,"2"
"789","1L",2166,"","Halictidae","Lasioglossum taylorae","","Small","Soil",5,"2"
"790","1L",1250,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"2"
"791","1L",1656,"","Halictidae","Halictus rubicundus","","Medium","Soil",2,"2"
"792","1L",1980,"","Halictidae","Lasioglossum lineatulum","","Small","Soil",2,"2"
"793","1L",1266,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"2"
"794","1L",1819,"","Colletidae","Colletes spp.","","Medium","Soil",5,"2"
"795","1L",1580,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"2"
"796","1L",1702,"","Halictidae","Halictus ligatus","Female","Small","Soil",1,"2"
"797","1L",1243,"M","Apidae","Melissodes bimaculatus","","Large","Soil",4,"2"
"798","1L",1799,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",2,"2"
"799","1L",1460,"M","Halictidae","Agapostemon virescens","","Medium","Soil",6,"2"
"800","1L",2230,"F","Apidae","Ceratina dupla","","Small","Wood",1,"2"
"801","1L",1207,"F","Apidae","Ceratina dupla","","Small","Wood",2,"2"
"802","1L",1009,"F","Apidae","Apis mellifera","","Large","Hive",2,"2"
"803","1L",2125,"","Halictidae","Lasioglossum obscurum","","Small","Soil",2,"2"
"804","1L",1977,"","Halictidae","Lasioglossum cressonii","","Small","Wood",2,"2"
"805","1L",1283,"F","Apidae","Melissodes bimaculatus","","Large","Soil",4,"2"
"806","1L",1278,"F","Apidae","Melissodes bimaculatus","","Large","Soil",4,"2"
"807","1L",1238,"M","Apidae","Melissodes bimaculatus","","Large","Soil",4,"2"
"808","1L",1443,"","Halictidae","Lasioglossum coeruleum","","Medium","Soil",5,"2"
"809","1L",1623,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"2"
"810","1L",2185,"","Halictidae","Lasioglossum smilacinae","","Small","Soil",5,"2"
"811","1L",1525,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"2"
"812","1L",2226,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"2"
"813","1L",1438,"","Halictidae","Augochlorella aurata","","Medium","Soil",1,"2"
"814","1L",1277,"F","Apidae","Melissodes bimaculatus","","Large","Soil",4,"2"
"815","1L",1731,"","Megachilidae","Megachile relativa","","Medium","Wood",3,"2"
"816","1L",1529,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"2"
"817","1L",1884,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"2"
"818","1L",1256,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"2"
"819","1L",1855,"","Megachilidae","Osmia sp","","Medium","Wood",1,"2"
"820","1L",2334,"","Halictidae","Sphecodes spp.","","medium","Soil",5,"2"
"821","1L",1066,"F","Apidae","Bombus impatience","","Large","Cavity",6,"2"
"822","1L",1836,"","Colletidae","Colletes spp.","","Medium","Soil",2,"2"
"823","1L",1242,"M","Apidae","Melissodes bimaculatus","","Large","Soil",5,"2"
"824","1L",1013,"F","Apidae","Apis mellifera","","Large","Hive",2,"2"
"825","1L",1047,"F","Apidae","Apis mellifera","","Large","Hive",5,"2"
"826","1L",1241,"M","Apidae","Melissodes bimaculatus","","Large","Soil",5,"2"
"827","1L",1695,"","Halictidae","Halictus ligatus","Female","Small","Soil",2,"2"
"828","1L",1862,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"2"
"829","1L",1524,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"2"
"830","1L",2134,"","Halictidae","Lasioglossum spp.","","Small","Soil",2,"2"
"831","1L",1248,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"2"
"832","1L",1405,"","Halictidae","Augochlorella persimilis","","Medium","Soil",2,"2"
"833","1L",1255,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"2"
"834","1L",1942,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",5,"2"
"835","1L",2224,"","Halictidae","Lasioglossum michiganense","","Small","Soil",5,"2"
"836","1L",1579,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"2"
"837","2H",1880,"","Halictidae","Lasioglossum zonulum","","Medium","Soil",5,"3"
"838","2H",1920,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"3"
"839","2H",1958,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",3,"3"
"840","2H",1945,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"3"
"841","2H",2019,"","Halictidae","Lasioglossum lineatulum","","Small","Soil",4,"3"
"842","2H",1841,"","Colletidae","Colletes spp.","","Medium","Soil",5,"3"
"843","2H",1967,"","Halictidae","Lasioglossum zonulum","","Medium","Soil",4,"3"
"844","2H",1617,"F","Halictidae","Agapostemon virescens","","Medium","Soil",6,"3"
"845","2L",2300,"","Colletidae","Hylaeus mesillae","Male","tiny","Wood",1,"4"
"846","2L",2369,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",2,"4"
"847","2L",1854,"","Megachilidae","Osmia sp","","Medium","Wood",2,"4"
"848","2L",1088,"F","Apidae","Bombus impatience","","Large","Cavity",6,"4"
"849","2L",1210,"M","Apidae","Ceratina dupla","","Small","Wood",1,"4"
"850","2L",1412,"","Halictidae","Augochlorella aurata","","Medium","Soil",1,"4"
"851","2L",1010,"F","Apidae","Apis mellifera","","Large","Hive",6,"4"
"852","2L",2358,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"4"
"853","2L",1629,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"4"
"854","2L",1171,"F","Apidae","Ceratina dupla","","Small","Wood",1,"4"
"855","2L",1221,"F","Apidae","Ceratina strenua","","Small","Wood",2,"4"
"856","2L",2299,"","Colletidae","Hylaeus mesillae","Male","tiny","Wood",1,"4"
"857","2L",2325,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",2,"4"
"858","2L",2271,"","Colletidae","Hylaeus annulatus","Female","tiny","Wood",1,"4"
"859","2L",1220,"M","Apidae","Ceratina dupla","","Small","Wood",1,"4"
"860","2L",1012,"F","Apidae","Apis mellifera","","Large","Hive",6,"4"
"861","2L",1822,"","Colletidae","Colletes spp.","","Medium","Soil",1,"4"
"862","2L",2288,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"4"
"863","2L",2235,"","not bee","Lasioglossum spp.","","Small","Soil",2,"4"
"864","2L",2286,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",2,"4"
"865","2L",2280,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"4"
"866","2L",2320,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",1,"4"
"867","2L",1869,"","Halictidae","Lasioglossum zonulum","","Medium","Soil",2,"4"
"868","2L",1823,"","Colletidae","Colletes spp.","","Medium","Soil",1,"4"
"869","2L",1208,"F","Apidae","Ceratina dupla","","Small","Wood",2,"4"
"870","2L",2297,"","Colletidae","Hylaeus mesillae","Male","tiny","Wood",1,"4"
"871","2L",1008,"F","Apidae","Apis mellifera","","Large","Hive",6,"4"
"872","2L",1652,"","Halictidae","Halictus ligatus","Female","Medium","Soil",4,"4"
"873","2L",1913,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"4"
"874","2L",2303,"","Colletidae","Hylaeus mesillae","Male","tiny","Wood",1,"4"
"875","2L",1015,"F","Apidae","Apis mellifera","","Large","Hive",1,"4"
"876","2L",1371,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",4,"4"
